CMDLINE /Users/andrea/anaconda3/envs/General/bin/python3.11 main.py
MEM 0.171875 1763672278.2841
MEM 41.437500 1763672278.3876
MEM 67.953125 1763672278.4901
MEM 97.171875 1763672278.5928
MEM 118.468750 1763672278.6981
MEM 141.406250 1763672278.8027
MEM 169.125000 1763672278.9059
MEM 178.843750 1763672279.0069
MEM 204.515625 1763672279.1120
MEM 218.453125 1763672279.2164
MEM 313.250000 1763672279.3167
MEM 381.500000 1763672279.4219
MEM 432.875000 1763672279.5251
MEM 481.609375 1763672279.6302
MEM 525.140625 1763672279.7348
MEM 563.531250 1763672279.8400
MEM 596.703125 1763672279.9452
MEM 631.687500 1763672280.0470
MEM 657.875000 1763672280.1522
MEM 697.171875 1763672280.2574
MEM 735.906250 1763672280.3590
MEM 757.156250 1763672280.4641
MEM 800.656250 1763672280.5692
MEM 828.656250 1763672280.6730
MEM 853.437500 1763672280.7780
MEM 907.468750 1763672280.8787
MEM 940.625000 1763672280.9792
MEM 997.562500 1763672281.0844
MEM 1034.031250 1763672281.1875
MEM 1051.421875 1763672281.2899
MEM 1086.000000 1763672281.3951
MEM 1115.781250 1763672281.4983
MEM 1138.937500 1763672281.6026
MEM 1159.625000 1763672281.7060
MEM 1213.281250 1763672281.8084
MEM 1251.609375 1763672281.9123
MEM 1289.250000 1763672282.0175
MEM 1326.265625 1763672282.1227
MEM 1384.218750 1763672282.2264
MEM 1422.265625 1763672282.3310
MEM 1443.968750 1763672282.4362
MEM 1465.906250 1763672282.5370
MEM 1508.812500 1763672282.6421
MEM 1542.625000 1763672282.7458
MEM 1576.062500 1763672282.8473
MEM 1607.062500 1763672282.9517
MEM 1635.703125 1763672283.0543
MEM 1666.187500 1763672283.1594
MEM 1701.843750 1763672283.2620
MEM 1742.218750 1763672283.3671
MEM 1770.484375 1763672283.4723
MEM 1806.531250 1763672283.5775
MEM 1840.781250 1763672283.6807
MEM 1876.093750 1763672283.7848
MEM 1910.078125 1763672283.8895
MEM 1925.984375 1763672283.9946
MEM 1962.500000 1763672284.0998
MEM 1988.281250 1763672284.2049
MEM 2017.765625 1763672284.3066
MEM 2054.843750 1763672284.4081
MEM 2099.265625 1763672284.5086
MEM 2138.234375 1763672284.6116
MEM 2169.531250 1763672284.7168
MEM 2208.109375 1763672284.8206
MEM 2229.796875 1763672284.9254
MEM 2267.437500 1763672285.0261
MEM 2303.234375 1763672285.1313
MEM 2315.046875 1763672285.2357
MEM 2349.234375 1763672285.3374
MEM 2387.234375 1763672285.4426
MEM 2408.312500 1763672285.5477
MEM 2449.578125 1763672285.6529
MEM 2473.140625 1763672285.7537
MEM 2510.203125 1763672285.8555
MEM 2551.343750 1763672285.9606
MEM 2587.062500 1763672286.0658
MEM 2620.281250 1763672286.1665
MEM 2657.406250 1763672286.2709
MEM 2693.843750 1763672286.3760
MEM 2729.843750 1763672286.4782
MEM 2762.468750 1763672286.5833
MEM 2789.546875 1763672286.6864
MEM 2835.171875 1763672286.7867
MEM 2881.015625 1763672286.8919
MEM 2892.796875 1763672286.9970
MEM 2922.609375 1763672287.1021
MEM 2957.890625 1763672287.2072
MEM 3000.875000 1763672287.3110
MEM 3027.718750 1763672287.4115
MEM 3071.250000 1763672287.5119
MEM 3108.421875 1763672287.6120
MEM 3144.578125 1763672287.7172
MEM 3175.765625 1763672287.8186
MEM 3271.953125 1763672287.9199
MEM 4014.187500 1763672288.0249
MEM 5004.921875 1763672288.1300
MEM 5871.968750 1763672288.2310
MEM 5871.968750 1763672288.3362
MEM 5871.968750 1763672288.4413
MEM 5871.968750 1763672288.5465
MEM 5871.968750 1763672288.6487
MEM 5871.968750 1763672288.7539
MEM 5871.968750 1763672288.8591
MEM 5871.968750 1763672288.9642
MEM 4075.046875 1763672289.0693
MEM 4219.015625 1763672289.1744
MEM 4777.109375 1763672289.2769
MEM 5095.968750 1763672289.3820
MEM 4829.859375 1763672289.4872
MEM 4089.437500 1763672289.5893
MEM 5118.750000 1763672289.6929
MEM 3985.687500 1763672289.7941
MEM 3985.687500 1763672289.8955
MEM 3985.687500 1763672290.0007
MEM 3985.687500 1763672290.1059
MEM 3985.687500 1763672290.2081
MEM 2651.921875 1763672290.3126
MEM 2651.921875 1763672290.4177
MEM 2652.562500 1763672290.5230
MEM 2660.203125 1763672290.6282
MEM 2662.453125 1763672290.7334
MEM 2662.468750 1763672290.8384
MEM 2662.468750 1763672290.9397
MEM 2662.921875 1763672291.0437
MEM 2663.484375 1763672291.1488
MEM 2665.000000 1763672291.2539
MEM 2666.484375 1763672291.3590
MEM 2666.281250 1763672291.4625
MEM 2666.281250 1763672291.5676
MEM 2666.281250 1763672291.6687
MEM 2666.671875 1763672291.7738
MEM 2666.671875 1763672291.8788
MEM 2666.796875 1763672291.9825
MEM 2668.250000 1763672292.0876
MEM 2667.500000 1763672292.1926
MEM 2667.500000 1763672292.2934
MEM 2667.906250 1763672292.3985
MEM 2667.906250 1763672292.5035
MEM 2667.906250 1763672292.6086
MEM 2667.906250 1763672292.7137
MEM 2669.640625 1763672292.8188
MEM 2669.640625 1763672292.9234
MEM 2669.640625 1763672293.0284
MEM 2670.031250 1763672293.1335
MEM 2670.031250 1763672293.2385
MEM 2670.031250 1763672293.3437
MEM 2670.031250 1763672293.4481
MEM 2670.031250 1763672293.5532
MEM 2670.031250 1763672293.6583
MEM 2670.031250 1763672293.7633
MEM 2670.031250 1763672293.8684
MEM 2670.031250 1763672293.9726
MEM 2670.031250 1763672294.0777
MEM 2670.656250 1763672294.1788
MEM 2670.656250 1763672294.2839
MEM 2542.656250 1763672294.3890
MEM 2542.656250 1763672294.4941
MEM 2542.656250 1763672294.5992
MEM 2542.656250 1763672294.7024
MEM 2542.656250 1763672294.8075
MEM 2543.578125 1763672294.9125
MEM 2543.578125 1763672295.0176
MEM 2543.578125 1763672295.1226
MEM 2543.578125 1763672295.2277
MEM 2543.578125 1763672295.3328
MEM 2543.578125 1763672295.4379
MEM 2543.578125 1763672295.5384
MEM 2543.578125 1763672295.6434
MEM 2543.578125 1763672295.7460
MEM 2543.578125 1763672295.8511
MEM 2543.578125 1763672295.9562
MEM 2543.578125 1763672296.0612
MEM 2543.578125 1763672296.1664
MEM 2543.734375 1763672296.2714
MEM 2543.734375 1763672296.3765
